id;name;description;avatar;avatar_content_type;created_by;last_modified_by
1;Clothing wireless Computers;copying;../fake-data/blob/hipster.png;image/png;system;system
2;feed Global;e-business;../fake-data/blob/hipster.png;image/png;system;system
3;back-end;Shoes;../fake-data/blob/hipster.png;image/png;system;system
4;Chips Savings Account;success Tokelau;../fake-data/blob/hipster.png;image/png;system;system
5;Mississippi Car implement;protocol Identity;../fake-data/blob/hipster.png;image/png;system;system
6;client-server Liaison Generic Steel Table;Computers benchmark;../fake-data/blob/hipster.png;image/png;system;system
7;bandwidth;Granite Granite;../fake-data/blob/hipster.png;image/png;system;system
8;Accounts Direct Handcrafted Wooden Hat;bypassing;../fake-data/blob/hipster.png;image/png;system;system
9;tan;Accountability compressing;../fake-data/blob/hipster.png;image/png;system;system
10;Sausages Rubber frame;Shirt;../fake-data/blob/hipster.png;image/png;system;system
